HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A
Fulham,Southampton,3,2,2.62,3.5,2.8
Man United,Crystal Palace,0,0,1.4,5.25,8
Tottenham,Chelsea,3,1,2.8,3.5,2.6
Watford,Liverpool,0,3,6.5,4.33,1.55
West Ham,Man City,0,4,13,6.5,1.25
Bournemouth,Arsenal,1,2,3.5,3.75,1.95
Wolves,Huddersfield,0,2,1.5,4.33,8
Burnley,Newcastle,1,2,2.9,3.2,2.75
Cardiff,Wolves,2,1,3.8,3.25,2.2
Crystal Palace,Burnley,2,0,1.61,3.9,6.5
Huddersfield,Brighton,1,2,2.5,3,3.4
Leicester,Watford,2,0,2.25,3.3,3.6
Man City,Bournemouth,3,1,1.11,11,26
Newcastle,West Ham,0,3,2.5,3.3,3.1
Southampton,Man United,2,2,4.33,3.6,1.95
Arsenal,Tottenham,4,2,2.62,3.6,2.75
Chelsea,Fulham,2,0,1.18,8,17
Liverpool,Everton,1,0,1.4,5,9
Bournemouth,Huddersfield,2,1,1.66,3.8,6
Brighton,Crystal Palace,3,1,3,3.1,2.7
Watford,Man City,1,2,11,6,1.3
West Ham,Cardiff,3,1,1.66,4,5.75
Burnley,Liverpool,1,3,14,5.75,1.28
Everton,Newcastle,1,1,1.6,4,6.5
Fulham,Leicester,1,1,3,3.5,2.45
Man United,Arsenal,2,2,2.45,3.5,3
Tottenham,Southampton,3,1,1.36,5.25,9.5
Wolves,Chelsea,2,1,5,3.75,1.8
Arsenal,Huddersfield,1,0,1.28,6,12
Bournemouth,Liverpool,0,4,5.75,4.5,1.6
Burnley,Brighton,1,0,2.9,3.2,2.75
Cardiff,Southampton,1,0,2.9,3.25,2.7
Chelsea,Man City,2,0,4,3.8,1.95
Leicester,Tottenham,0,2,3.8,3.75,2
Man United,Fulham,4,1,1.33,5.75,10
West Ham,Crystal Palace,3,2,2.3,3.4,3.4
Newcastle,Wolves,1,2,2.9,3.2,2.7
Everton,Watford,2,2,1.8,3.75,5
Crystal Palace,Leicester,1,0,2.62,3.2,3
Fulham,West Ham,0,2,2.9,3.6,2.5
Huddersfield,Newcastle,0,1,2.6,3.1,3.1
Man City,Everton,3,1,1.22,7.5,13
Tottenham,Burnley,1,0,1.18,8,19
Watford,Cardiff,3,2,1.64,3.9,6
Wolves,Bournemouth,2,0,1.95,3.6,4.33
Brighton,Chelsea,1,2,7.5,4.5,1.5
Liverpool,Man United,3,1,1.57,4.5,6
Southampton,Arsenal,3,2,4.1,3.9,1.9
Wolves,Liverpool,0,2,7,4,1.57
Arsenal,Burnley,3,1,1.25,6.5,15
Bournemouth,Brighton,2,0,1.9,3.7,4.33
Cardiff,Man United,1,5,6.5,4.2,1.57
Chelsea,Leicester,0,1,1.33,5.5,11
Huddersfield,Southampton,1,3,3.1,3.1,2.6
Man City,Crystal Palace,2,3,1.14,10,21
Newcastle,Fulham,0,0,2,3.6,4
West Ham,Watford,0,2,2.37,3.5,3.1
Everton,Tottenham,2,6,3.25,3.5,2.3
