HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A
Toulouse,Monaco,1,1,3,3.3,2.4
Bordeaux,Nimes,3,3,1.83,3.4,4.5
Marseille,Guingamp,4,0,1.28,5.75,10
Nantes,Reims,0,0,1.9,3.25,4.33
Monaco,Nimes,1,1,1.75,4,4.33
Angers,Toulouse,0,0,2.14,3.2,3.6
Lille,Nantes,2,1,1.85,3.5,4.5
Montpellier,Nice,1,0,2.2,3,3.75
Reims,Dijon,0,0,2.04,3.3,3.8
St Etienne,Caen,2,1,1.64,3.5,6.5
Strasbourg,Amiens,3,1,1.8,3.3,5.25
Guingamp,Bordeaux,1,3,2.25,3.1,3.5
Lyon,Marseille,4,2,1.95,3.5,3.8
Rennes,Paris SG,1,3,7.5,4.5,1.4
Monaco,Angers,0,1,1.75,3.8,4.75
Nantes,Nice,1,2,2.4,3.2,3.1
Toulouse,St Etienne,2,3,2.6,3,3
Amiens,Rennes,2,1,3.25,3.1,2.4
Bordeaux,Lille,1,0,2.45,3.2,3
Caen,Montpellier,2,2,3,3,2.6
Dijon,Lyon,0,3,5.75,4.2,1.57
Marseille,Strasbourg,3,2,1.44,4.5,7.5
Nimes,Guingamp,0,0,1.95,3.6,3.8
Paris SG,Reims,4,1,1.12,9,21
St Etienne,Monaco,2,0,1.95,3.4,4
Angers,Guingamp,0,1,2.14,3.2,3.7
Caen,Amiens,1,0,2.14,3.25,3.6
Lyon,Nantes,1,1,1.3,5.75,9.5
Nice,Paris SG,0,3,7.5,5.5,1.36
Reims,Bordeaux,0,0,2.3,3.25,3.25
Strasbourg,Dijon,3,0,1.95,3.5,4
Lille,Marseille,3,0,3.1,3.4,2.3
Montpellier,Nimes,3,0,1.85,3.6,4.33
Rennes,Toulouse,1,1,1.95,3.5,4
Toulouse,Nice,1,1,2.37,3.3,3.1
Amiens,Dijon,1,0,2.4,3.25,3.1
Angers,Strasbourg,2,2,2.37,3.1,3.3
Guingamp,Montpellier,1,1,2.8,3.1,2.7
Lille,St Etienne,3,1,2,3.4,3.9
Nimes,Reims,0,0,2.3,3.3,3.2
Bordeaux,Nantes,3,0,2.25,3.2,3.4
Marseille,Caen,2,0,1.33,5.25,9
Monaco,Rennes,1,2,2,3.5,3.75
Paris SG,Lyon,5,0,1.33,5.5,8.5
Lyon,Nimes,2,0,1.3,5.5,9.5
Caen,Guingamp,0,0,2.1,3.25,3.75
Dijon,Lille,1,2,3.3,3.5,2.14
Nantes,Toulouse,4,0,2,3.3,4
Paris SG,Amiens,5,0,1.08,11,26
Reims,Angers,1,1,2.25,3.1,3.5
Strasbourg,Monaco,2,1,2.7,3.25,2.7
Montpellier,Bordeaux,2,0,2.14,3.25,3.6
Nice,Marseille,0,1,3.5,3.5,2.04
St Etienne,Rennes,1,1,2.14,3.2,3.75
Nimes,St Etienne,1,1,2.62,3.3,2.7
Amiens,Nantes,1,2,3,3.2,2.5
Angers,Lyon,1,2,3.8,3.6,1.95
Guingamp,Strasbourg,1,1,2.37,3.2,3.2
Lille,Caen,1,0,1.5,4,7.5
Monaco,Dijon,2,2,1.66,4,5
Toulouse,Montpellier,0,3,2.8,3.1,2.7
Bordeaux,Nice,0,1,2.3,3.3,3.25
Marseille,Paris SG,0,2,6,5,1.44
Rennes,Reims,0,2,1.7,3.4,5.75
Paris SG,Lille,2,1,1.16,8,15
Caen,Rennes,1,2,3.5,3.25,2.2
Dijon,Nimes,0,4,2.14,3.4,3.4
Lyon,Bordeaux,1,1,1.44,4.75,7
Nice,Amiens,1,0,1.72,3.6,5.25
Reims,Monaco,1,0,2.5,3.3,2.87
Strasbourg,Toulouse,1,1,1.85,3.6,4.33
Montpellier,Marseille,3,0,3,3.2,2.5
Nantes,Guingamp,5,0,1.83,3.5,4.5
St Etienne,Angers,4,3,1.95,3.3,4.2
Lille,Strasbourg,0,0,1.72,3.75,5
Angers,Montpellier,1,0,3,3.1,2.6
Guingamp,Lyon,2,4,5,4,1.66
Nimes,Nice,0,1,2.3,3.25,3.25
St Etienne,Reims,2,0,1.8,3.5,4.75
Toulouse,Amiens,0,1,2.14,3.2,3.6
Bordeaux,Caen,0,0,1.85,3.5,4.5
Marseille,Dijon,2,0,1.33,4.75,11
Monaco,Paris SG,0,4,11,6.5,1.25
Rennes,Nantes,1,1,2.14,3.3,3.6
Lyon,St Etienne,1,0,1.57,4.2,5.75
Caen,Monaco,0,1,3.25,3.25,2.3
Dijon,Bordeaux,0,0,2.87,3.25,2.54
Nantes,Angers,1,1,2,3.2,4.2
Paris SG,Toulouse,1,0,1.14,9,15
Reims,Guingamp,2,1,2,3.2,4.2
Strasbourg,Nimes,0,1,2.1,3.4,3.6
Amiens,Marseille,1,3,4.6,3.75,1.75
Montpellier,Rennes,2,2,2.3,3,3.6
Nice,Lille,2,0,2.6,3.1,3
St Etienne,Nantes,3,0,2.04,3.4,3.75
Angers,Caen,1,1,1.72,3.75,5
Guingamp,Nice,0,0,2.7,3.2,2.75
Lille,Lyon,2,2,2.75,3.3,2.6
Monaco,Montpellier,1,2,2.54,3.3,2.8
Nimes,Amiens,3,0,1.9,3.6,4.2
Bordeaux,Paris SG,2,2,10,5.5,1.28
Marseille,Reims,0,0,1.4,4.75,7.5
Rennes,Strasbourg,1,4,1.7,3.75,5
Toulouse,Dijon,2,2,2,3.4,3.75
Amiens,Monaco,0,2,2.9,3.3,2.45
Montpellier,Lille,0,1,2.1,3.2,3.75
Nice,Angers,0,0,2,3.2,4.2
Bordeaux,St Etienne,3,2,2.5,3.1,3.1
Caen,Nimes,1,2,2.8,3.1,2.75
Dijon,Guingamp,2,1,2.25,3.25,3.4
Lyon,Rennes,0,2,1.53,4.2,6.5
Nantes,Marseille,3,2,3.1,3.3,2.35
Reims,Toulouse,0,1,1.95,3.2,4.5
Strasbourg,Paris SG,1,1,8,5.75,1.33
Guingamp,Amiens,1,2,2,3.2,4.2
Rennes,Dijon,2,0,1.57,3.8,6.5
Lille,Reims,1,1,1.8,3.4,5
Strasbourg,Caen,2,2,1.75,3.5,5.25
Reims,Strasbourg,2,1,2.25,3.1,3.5
Lyon,Monaco,3,0,1.44,4.75,7
Nice,St Etienne,1,1,2.25,3.1,3.5
Nimes,Lille,2,3,2.5,3,3.2
Caen,Toulouse,2,1,2.5,3.1,3.1
Angers,Marseille,1,1,3.75,3.4,2.04
Lille,Toulouse,1,2,1.72,3.5,5.5
Monaco,Guingamp,0,2,1.9,3.5,4.33
Montpellier,Lyon,1,1,3.3,3.3,2.25
Paris SG,Nantes,1,0,1.14,9,15
Reims,Caen,2,2,1.8,3.5,4.75
Rennes,Nimes,4,0,1.83,3.5,4.5
St Etienne,Dijon,3,0,1.53,4.33,6
Strasbourg,Nice,2,0,2.37,3.2,3.1
Bordeaux,Amiens,1,1,1.61,3.75,6
Amiens,Angers,0,0,3.2,3,2.4
Nantes,Montpellier,2,0,2.6,3.1,2.9
Caen,Lille,1,3,3.8,3.25,2.1
Lyon,Reims,1,1,1.45,4.5,7.5
Amiens,Paris SG,0,3,17,7.5,1.16
Guingamp,St Etienne,0,1,2.87,3.2,2.5
Nice,Bordeaux,1,0,2.2,3.2,3.6
Dijon,Montpellier,1,1,3.25,3.3,2.3
Marseille,Monaco,1,1,1.57,4,6
Nantes,Rennes,0,1,2.55,3.3,2.8
Toulouse,Strasbourg,1,2,2.5,3.2,3
Angers,Bordeaux,1,2,2.5,3,3
Guingamp,Rennes,2,1,2.87,3.2,2.55
Monaco,Nice,1,1,2.3,3.2,3.3
Nimes,Nantes,1,0,2.37,3.25,3.1
St Etienne,Marseille,2,1,2.25,3.5,3.1
Toulouse,Lyon,2,2,5.25,3.75,1.66
Lille,Amiens,2,1,1.65,3.6,5.75
Monaco,Strasbourg,1,5,1.9,3.5,4
Nimes,Toulouse,0,1,1.95,3.6,3.8
Paris SG,Guingamp,9,0,1.1,10,26
Reims,Nice,1,1,2.25,3,3.7
Angers,Nantes,1,0,2.45,3.1,3.1
Bordeaux,Dijon,1,0,1.66,3.6,5.75
Caen,Marseille,0,1,4.33,3.6,1.85
Rennes,Montpellier,0,0,2.05,3.4,3.8
St Etienne,Lyon,1,2,3.1,3.5,2.25
Nimes,Angers,3,1,2.05,3.4,3.8
Marseille,Lille,1,2,2.3,3.25,3.2
Dijon,Monaco,2,0,2.9,3.3,2.37
Guingamp,Reims,0,1,2.5,3.1,3.1
Nice,Nimes,2,0,2.1,3.2,3.75
Strasbourg,Bordeaux,1,0,2.4,3.2,3.1
Amiens,Lyon,0,1,6.5,4.2,1.53
Montpellier,Caen,2,0,1.72,3.5,5.5
Paris SG,Rennes,4,1,1.22,6.5,12
Toulouse,Angers,0,0,2.2,3.2,3.5
Nantes,St Etienne,1,1,2.75,3.1,2.75
Lille,Nice,4,0,1.8,3.6,4.75
Angers,Dijon,1,0,2,3.3,4
Monaco,Toulouse,2,1,1.72,3.6,5.25
Reims,Marseille,2,1,2.7,3.25,2.7
Rennes,Amiens,1,0,1.6,3.75,6.5
Lyon,Paris SG,2,1,3.8,3.8,1.85
Nimes,Montpellier,1,1,2.6,3.1,2.9
Marseille,Bordeaux,1,0,2.25,3.2,3.4
Dijon,Marseille,1,2,4.33,3.5,1.85
Amiens,Caen,1,0,2.1,3.1,4
Paris SG,Bordeaux,1,0,1.25,6.5,11
Strasbourg,Angers,1,2,2.05,3.2,4
Guingamp,Lille,0,2,3.4,3.3,2.2
Montpellier,Monaco,2,2,2.45,3.1,3.1
Nantes,Nimes,2,4,1.9,3.3,4.2
Nice,Lyon,1,0,4.75,4,1.7
Rennes,St Etienne,3,0,2.15,3.4,3.4
Toulouse,Reims,1,1,2.75,3,2.8
Caen,Nantes,0,1,3,3.1,2.5
St Etienne,Strasbourg,2,1,1.95,3.3,4
Lyon,Guingamp,2,1,1.3,5.25,10
Nimes,Dijon,2,0,1.75,3.8,4.5
Angers,Nice,3,0,2.4,3,3.3
Marseille,Amiens,2,0,1.4,4.5,9
Monaco,Nantes,1,0,1.8,3.6,4.5
Bordeaux,Toulouse,2,1,1.83,3.5,4.75
Caen,Strasbourg,0,0,3.5,3.1,2.3
Lille,Montpellier,0,0,1.85,3.3,4.75
Reims,Rennes,2,0,2.5,3.1,3.1
St Etienne,Paris SG,0,1,5.25,4.33,1.6
Bordeaux,Guingamp,0,0,1.9,3.4,4.33
Paris SG,Montpellier,5,1,1.25,6,12
Dijon,St Etienne,0,1,3.5,3.3,2.15
Strasbourg,Lille,1,1,2.75,3.1,2.7
Amiens,Nice,1,0,2.7,2.9,3
Guingamp,Angers,1,0,2.5,3.2,3
Paris SG,Nimes,3,0,1.25,6.5,11
Monaco,Lyon,2,0,3.4,3.5,2.1
Montpellier,Reims,2,4,2.2,3.2,3.5
Nantes,Bordeaux,1,0,1.95,3.4,4.2
Rennes,Marseille,1,1,2.9,3.3,2.45
Toulouse,Caen,1,1,1.85,3.5,4.5
Angers,Monaco,2,2,3.3,3.3,2.25
Caen,Paris SG,1,2,12,6,1.22
Reims,Amiens,2,2,1.75,3.4,5.25
Guingamp,Nantes,0,0,2.8,3,2.8
Lille,Dijon,1,0,1.53,3.8,7.5
Lyon,Toulouse,5,1,1.28,5.5,10
Marseille,St Etienne,2,0,1.75,3.75,4.5
Nice,Strasbourg,1,0,2.3,2.9,3.6
Bordeaux,Montpellier,1,2,2.5,2.9,3.3
Amiens,Nimes,2,1,2.45,3.2,3.1
Dijon,Reims,1,1,3.1,3.1,2.45
Monaco,Bordeaux,1,1,1.61,4,5.25
Strasbourg,Lyon,2,2,4.75,3.8,1.75
Marseille,Nice,1,0,1.5,4.5,6
Montpellier,Angers,2,2,2.1,3.1,4
Rennes,Caen,3,1,1.61,3.6,6.5
St Etienne,Lille,0,1,2.45,3.3,3
Toulouse,Guingamp,1,0,2.15,3.2,3.5
Dijon,Paris SG,0,4,13,7,1.2
Lille,Monaco,0,1,2.1,3.2,3.8
Nice,Toulouse,1,1,2.05,3.1,4
Angers,Amiens,0,0,2.1,3.1,4
Caen,St Etienne,0,5,3.7,3.1,2.2
Guingamp,Dijon,1,0,2.1,3.1,4
Nimes,Strasbourg,2,2,2.37,3.2,3.2
Bordeaux,Rennes,1,1,2.62,3,2.9
Lyon,Montpellier,3,2,1.4,4.33,8.5
Paris SG,Marseille,3,1,1.28,6,9.5
Reims,Nantes,1,0,2.15,3,4
Rennes,Lyon,0,1,4,3.6,1.9
Marseille,Angers,2,2,1.53,3.75,7.5
Amiens,Bordeaux,0,0,2.5,3.1,3.1
Dijon,Nice,0,1,2.4,3.1,3.2
Monaco,Caen,0,1,1.36,4.75,9.5
Nantes,Lille,2,3,3,3.1,2.55
Toulouse,Paris SG,0,1,10,6.5,1.25
St Etienne,Nimes,2,1,1.75,3.75,4.75
Montpellier,Guingamp,2,0,1.75,3.4,5.25
Strasbourg,Reims,4,0,2.62,3.1,2.9
Bordeaux,Marseille,2,0,3.6,3.4,2.1
Amiens,St Etienne,2,2,3,3.1,2.55
Angers,Rennes,3,3,2.7,3.2,2.7
Guingamp,Monaco,1,1,3.75,3.4,2.05
Lyon,Dijon,1,3,1.22,7,11
Nimes,Caen,2,0,1.65,3.8,5.5
Nice,Montpellier,1,0,2.62,3,3
Paris SG,Strasbourg,2,2,1.1,11,21
Reims,Lille,1,1,2.9,3.1,2.62
Toulouse,Nantes,1,0,2.4,3.1,3.2
Nimes,Rennes,3,1,2.7,3.25,2.7
Dijon,Amiens,0,0,2.3,3.1,3.4
Nantes,Lyon,2,1,3.75,4,1.83
Caen,Angers,0,1,3.1,3,2.55
Marseille,Nimes,2,1,1.57,4.33,5.5
Monaco,Reims,0,0,1.9,3.4,4
Strasbourg,Guingamp,3,3,2,3.25,4.2
Lille,Paris SG,5,1,4.33,4,1.72
Montpellier,Toulouse,2,1,1.85,3.4,4.75
Rennes,Nice,0,0,1.8,3.6,4.5
St Etienne,Bordeaux,3,0,1.72,3.6,5.25
Nantes,Paris SG,3,2,4.5,4.2,1.7
Dijon,Rennes,3,2,2.87,3.3,2.5
Lyon,Angers,2,1,1.3,5.5,10
Guingamp,Marseille,1,3,4,3.6,1.9
Nice,Caen,0,1,1.83,3.3,5
Nimes,Bordeaux,2,1,2.15,3.4,3.4
Strasbourg,Montpellier,1,3,2.6,3.1,3
Nantes,Amiens,3,2,1.95,3.25,4.33
Paris SG,Monaco,3,1,1.5,4.5,6.5
Reims,St Etienne,0,2,2.5,3.1,3.1
Toulouse,Lille,0,0,3.75,3.1,2.15
Bordeaux,Lyon,2,3,5.25,3.75,1.7
Amiens,Strasbourg,0,0,2.1,3.1,3.75
Angers,Reims,1,1,2.5,3.1,2.9
Caen,Dijon,1,0,2.8,3.1,2.62
Lille,Nimes,5,0,1.5,4,6.5
Marseille,Nantes,1,2,1.5,3.8,7.5
Nice,Guingamp,3,0,2,3.2,4
St Etienne,Toulouse,2,0,1.5,4,6.5
Montpellier,Paris SG,3,2,4.33,3.6,1.83
Rennes,Monaco,2,2,3.5,3.3,2.15
Strasbourg,Marseille,1,1,3.8,3.5,2
Bordeaux,Angers,0,1,2.25,3.1,3.5
Guingamp,Caen,0,0,1.9,3.3,4.5
Paris SG,Nice,1,1,1.25,6,11
Reims,Nimes,0,3,1.95,3.5,4
Lyon,Lille,2,2,1.66,4,5
Monaco,St Etienne,2,3,2.4,3.5,2.87
Montpellier,Amiens,1,1,1.72,3.75,5
Nantes,Dijon,3,0,1.9,3.5,4.2
Toulouse,Rennes,2,2,2.3,3.3,3.25
St Etienne,Montpellier,0,1,1.75,3.8,4.75
Amiens,Toulouse,0,0,2.3,3.2,3.3
Angers,Paris SG,1,2,6,4.33,1.53
Caen,Reims,3,2,2.4,3.1,3.1
Dijon,Strasbourg,2,1,2.05,3.5,3.6
Nice,Nantes,1,1,2.5,3.1,3.1
Nimes,Monaco,1,0,3.4,3.8,2.05
Lille,Bordeaux,1,0,1.4,4.75,8
Marseille,Lyon,0,3,3,3.8,2.2
Rennes,Guingamp,1,1,1.95,3.5,4
Bordeaux,Reims,0,1,2.37,3.1,3.3
Guingamp,Nimes,2,2,2.8,3.4,2.5
Lille,Angers,5,0,1.53,4,7
Lyon,Caen,4,0,1.2,7,13
Monaco,Amiens,2,0,1.61,3.8,6
Montpellier,Nantes,1,1,1.8,3.8,4.33
Paris SG,Dijon,4,0,1.3,5.5,10
St Etienne,Nice,3,0,1.57,4,6
Strasbourg,Rennes,0,2,2.3,3.3,3.25
Toulouse,Marseille,2,5,3.4,3.3,2.2
Amiens,Guingamp,2,1,1.53,4,6.5
Angers,St Etienne,1,1,2.62,3.4,2.62
Caen,Bordeaux,0,1,1.72,3.6,5.25
Dijon,Toulouse,2,1,1.5,4.5,6
Marseille,Montpellier,1,0,1.85,4.2,3.75
Nantes,Strasbourg,0,1,1.65,3.8,5.5
Nice,Monaco,2,0,3.1,3.5,2.25
Nimes,Lyon,2,3,3.4,3.8,2
Reims,Paris SG,3,1,6.5,5,1.45
Rennes,Lille,3,1,2.62,3.6,2.5
Liverpool,Norwich,4,1,1.14,10,19
West Ham,Man City,0,5,12,6.5,1.22
Bournemouth,Sheffield United,1,1,1.95,3.6,3.6
Burnley,Southampton,3,0,2.62,3.2,2.75
Crystal Palace,Everton,0,0,3,3.25,2.37
Watford,Brighton,0,3,1.9,3.4,4
Tottenham,Aston Villa,3,1,1.3,5.25,10
Leicester,Wolves,0,0,2.2,3.2,3.4
Newcastle,Arsenal,0,1,4.5,3.75,1.72
Man United,Chelsea,4,0,2.1,3.3,3.5
Arsenal,Burnley,2,1,1.3,5.5,10
Aston Villa,Bournemouth,1,2,2.3,3.4,3.1
Brighton,West Ham,1,1,2.55,3.25,2.87
Everton,Watford,1,0,1.72,3.8,4.75
Norwich,Newcastle,3,1,2.25,3.3,3.3
Southampton,Liverpool,1,2,6.5,4.75,1.44
Man City,Tottenham,2,2,1.36,5.25,8
Sheffield United,Crystal Palace,1,0,2.55,3.1,2.9
Chelsea,Leicester,1,1,1.7,3.75,5
Wolves,Man United,1,1,3.3,3.3,2.25
Aston Villa,Everton,2,0,3.25,3.5,2.15
Norwich,Chelsea,2,3,4.33,3.75,1.8
Brighton,Southampton,0,2,2.4,3.3,3
Man United,Crystal Palace,1,2,1.33,5.25,9
Sheffield United,Leicester,1,2,3.3,3.3,2.25
Watford,West Ham,1,3,2.05,3.5,3.5
Liverpool,Arsenal,3,1,1.5,4.6,6
Bournemouth,Man City,1,3,15,7.5,1.16
Tottenham,Newcastle,0,1,1.2,6.5,14
Wolves,Burnley,1,1,1.85,3.4,4.5
Southampton,Man United,1,1,3.8,3.3,2.05
Chelsea,Sheffield United,2,2,1.36,4.75,9
Crystal Palace,Aston Villa,1,0,2.15,3.3,3.5
Leicester,Bournemouth,3,1,1.7,4,4.75
Man City,Brighton,4,0,1.08,10,26
Newcastle,Watford,1,1,2.5,3.25,2.87
West Ham,Norwich,2,0,1.85,3.9,3.9
Burnley,Liverpool,0,3,9.5,5.5,1.3
Everton,Wolves,3,2,2.2,3.25,3.5
Arsenal,Tottenham,2,2,2.37,3.6,2.8
Liverpool,Newcastle,3,1,1.14,8.5,17
Brighton,Burnley,1,1,2.15,3.3,3.5
Man United,Leicester,1,0,1.95,3.5,4
Sheffield United,Southampton,0,1,2.45,3.2,3
Tottenham,Crystal Palace,4,0,1.36,5.25,8
Wolves,Chelsea,2,5,2.9,3.3,2.5
Norwich,Man City,3,2,15,9,1.14
Bournemouth,Everton,3,1,2.9,3.5,2.4
Watford,Arsenal,2,2,3.6,3.6,2
Aston Villa,West Ham,0,0,2.62,3.5,2.6
Southampton,Bournemouth,1,3,2.05,3.6,3.5
Leicester,Tottenham,2,1,2.87,3.5,2.37
Burnley,Norwich,2,0,2,3.8,3.5
Everton,Sheffield United,0,2,1.61,3.75,6
Man City,Watford,8,0,1.1,11,21
Newcastle,Brighton,0,0,2.5,3.2,3
Crystal Palace,Wolves,1,1,2.62,3.1,2.87
West Ham,Man United,2,0,3.1,3.6,2.2
Arsenal,Aston Villa,3,2,1.4,4.75,8
Chelsea,Liverpool,1,2,3.5,3.75,2
Sheffield United,Liverpool,0,1,9,5.25,1.33
Aston Villa,Burnley,2,2,2.3,3.4,3.1
Bournemouth,West Ham,2,2,2.5,3.5,2.75
Chelsea,Brighton,2,0,1.4,4.75,8
Crystal Palace,Norwich,2,0,1.9,3.75,3.75
Tottenham,Southampton,2,1,1.4,4.75,8
Wolves,Watford,2,0,1.85,3.4,4.5
Everton,Man City,1,3,10,5.5,1.3
Leicester,Newcastle,5,0,1.5,4,7.5
Man United,Arsenal,1,1,2.37,3.5,2.9
Brighton,Tottenham,3,0,3.9,3.6,1.9
Burnley,Everton,1,0,2.87,3.3,2.5
Liverpool,Leicester,2,1,1.44,4.75,7
Norwich,Aston Villa,1,5,2.37,3.6,2.8
Watford,Sheffield United,0,0,2.05,3.4,3.6
West Ham,Crystal Palace,1,2,1.95,3.6,3.8
Arsenal,Bournemouth,1,0,1.44,4.75,7
Man City,Wolves,0,2,1.12,9,21
Southampton,Chelsea,1,4,4,3.8,1.85
Newcastle,Man United,1,0,4.5,3.5,1.85
Everton,West Ham,2,0,1.95,3.75,3.75
Aston Villa,Brighton,2,1,2.35,3.4,3
Bournemouth,Norwich,0,0,1.72,4.2,4.2
Chelsea,Newcastle,1,0,1.3,5.5,10
Leicester,Burnley,2,1,1.57,4,6
Tottenham,Watford,1,1,1.4,5,7.5
Wolves,Southampton,1,1,1.8,3.6,4.5
Crystal Palace,Man City,0,2,12,7,1.22
Man United,Liverpool,1,1,5.25,3.8,1.65
Sheffield United,Arsenal,1,0,3.9,3.75,1.9
Southampton,Leicester,0,9,3.1,3.4,2.3
Man City,Aston Villa,3,0,1.08,11,26
Brighton,Everton,3,2,2.9,3.25,2.5
Watford,Bournemouth,0,0,2.15,3.6,3.25
West Ham,Sheffield United,1,1,2.1,3.5,3.5
Burnley,Chelsea,2,4,4.5,4,1.72
Newcastle,Wolves,1,1,3,3.1,2.55
Arsenal,Crystal Palace,2,2,1.45,4.75,6.5
Liverpool,Tottenham,2,1,1.5,4.33,6.5
Norwich,Man United,1,3,4.33,4,1.75
Bournemouth,Man United,1,0,3.25,3.6,2.15
Arsenal,Wolves,1,1,1.75,3.75,4.75
Aston Villa,Liverpool,1,2,9,5,1.33
Brighton,Norwich,2,0,1.72,4.2,4.33
Man City,Southampton,2,1,1.07,13,23
Sheffield United,Burnley,3,0,2.25,3.2,3.4
West Ham,Newcastle,2,3,1.75,3.8,4.5
Watford,Chelsea,1,2,5,4.33,1.61
Crystal Palace,Leicester,0,2,3.5,3.4,2.1
Everton,Tottenham,1,1,2.7,3.4,2.6
Norwich,Watford,0,2,2.7,3.5,2.55
Chelsea,Crystal Palace,2,0,1.33,5,10
Burnley,West Ham,3,0,2.25,3.5,3.1
Newcastle,Bournemouth,2,1,2.55,3.25,2.8
Southampton,Everton,1,2,2.9,3.3,2.45
Tottenham,Sheffield United,1,1,1.57,4,6
Leicester,Arsenal,2,0,2,3.75,3.5
Man United,Brighton,3,1,1.6,3.75,6.5
Wolves,Aston Villa,2,1,1.9,3.5,4.2
Liverpool,Man City,3,1,2.5,3.6,2.62
West Ham,Tottenham,2,3,4.2,4.33,1.7
Arsenal,Southampton,2,2,1.45,4.75,6.5
Bournemouth,Wolves,1,2,2.75,3.3,2.6
Brighton,Leicester,0,2,3.75,3.5,2
Crystal Palace,Liverpool,1,2,7.5,4.75,1.4
Everton,Norwich,0,2,1.36,5.1,8
Watford,Burnley,0,3,2.3,3.4,3.1
Man City,Chelsea,2,1,1.44,5,6.5
Sheffield United,Man United,3,3,3.5,3.4,2.1
Aston Villa,Newcastle,2,0,2.05,3.4,3.7
Newcastle,Man City,2,2,13,8,1.16
Burnley,Crystal Palace,0,2,2.25,3.25,3.3
Chelsea,West Ham,0,1,1.28,6,9
Liverpool,Brighton,2,1,1.18,7,15
Tottenham,Bournemouth,3,2,1.36,5.5,7.5
Southampton,Watford,2,1,2.1,3.4,3.5
Norwich,Arsenal,2,2,4,4.33,1.75
Wolves,Sheffield United,1,1,1.9,3.5,4.2
Leicester,Everton,2,1,1.61,4,5.25
Man United,Aston Villa,2,2,1.45,4.5,7
Crystal Palace,Bournemouth,1,0,2.2,3.4,3.25
Burnley,Man City,1,4,11,7,1.22
Chelsea,Aston Villa,2,1,1.28,5.75,10
Leicester,Watford,2,0,1.33,5.5,8
Man United,Tottenham,2,1,2.75,3.4,2.55
Southampton,Norwich,2,1,1.72,4,4.2
Wolves,West Ham,2,0,1.75,3.7,4.75
Liverpool,Everton,5,2,1.36,5,8.5
Sheffield United,Newcastle,0,2,1.83,3.4,4.6
Arsenal,Brighton,1,2,1.57,4.33,5.5
Everton,Chelsea,3,1,3.5,3.75,2
Bournemouth,Liverpool,0,3,7,5.25,1.4
Tottenham,Burnley,5,0,1.4,4.75,8
Watford,Crystal Palace,0,0,2.37,3.3,3.1
Man City,Man United,1,2,1.3,5.5,10
Aston Villa,Leicester,1,4,4.33,3.8,1.8
Newcastle,Southampton,2,1,2.5,3.2,2.9
Norwich,Sheffield United,1,2,2.9,3.5,2.37
Brighton,Wolves,2,2,2.62,3.1,2.87
West Ham,Arsenal,1,3,3.3,4,2
Liverpool,Watford,2,0,1.16,7.5,17
Burnley,Newcastle,1,0,1.95,3.4,4
Chelsea,Bournemouth,0,1,1.25,6,12
Leicester,Norwich,1,1,1.22,6.5,13
Sheffield United,Aston Villa,2,0,1.85,3.75,4.2
Southampton,West Ham,0,1,1.9,3.8,3.8
Man United,Everton,1,1,1.8,3.7,4.5
Wolves,Tottenham,1,2,3.25,3.4,2.25
Arsenal,Man City,0,3,6,5.25,1.44
Crystal Palace,Brighton,1,1,2.55,3.25,2.87
Everton,Arsenal,0,0,2.3,3.8,2.87
Aston Villa,Southampton,1,3,2.4,3.6,2.8
Bournemouth,Burnley,0,1,2.4,3.4,2.9
Brighton,Sheffield United,0,1,2.2,3.25,3.5
Newcastle,Crystal Palace,1,0,2.37,3.1,3.25
Norwich,Wolves,1,2,3.75,3.8,1.9
Man City,Leicester,3,1,1.36,5.25,7.5
Watford,Man United,2,0,4.33,4,1.75
Tottenham,Chelsea,0,2,2.37,3.75,2.75
Tottenham,Brighton,2,1,1.53,4.33,6
Aston Villa,Norwich,1,0,2.1,3.75,3.3
Bournemouth,Arsenal,1,1,3.5,3.9,1.95
Chelsea,Southampton,0,2,1.33,5.25,9
Crystal Palace,West Ham,2,1,2.3,3.4,3.1
Everton,Burnley,1,0,1.7,3.75,5
Sheffield United,Watford,1,1,1.83,3.6,4.33
Man United,Newcastle,4,1,1.33,5.25,9
Leicester,Liverpool,0,4,3.4,3.75,2.05
Wolves,Man City,3,2,8.5,5,1.36
Brighton,Bournemouth,2,0,1.75,3.9,4.33
Newcastle,Everton,1,2,3.6,3.4,2.05
Southampton,Crystal Palace,1,1,1.95,3.6,3.8
Watford,Aston Villa,3,0,1.95,3.8,3.6
Norwich,Tottenham,2,2,5,4,1.66
West Ham,Leicester,1,2,4,3.9,1.83
Burnley,Man United,0,2,4.33,3.75,1.8
Arsenal,Chelsea,1,2,2.87,3.75,2.3
Liverpool,Wolves,1,0,1.25,5.75,12
Man City,Sheffield United,2,0,1.16,7.5,16
Brighton,Chelsea,1,1,3.6,3.6,1.95
Burnley,Aston Villa,1,2,1.75,3.8,4.33
Newcastle,Leicester,0,3,5,3.8,1.66
Southampton,Tottenham,1,0,3.3,3.5,2.1
Watford,Wolves,2,1,3,3.4,2.3
Man City,Everton,2,1,1.25,6.5,10
Norwich,Crystal Palace,1,1,2.5,3.4,2.75
West Ham,Bournemouth,4,0,1.9,3.75,3.8
Arsenal,Man United,2,0,2.55,3.6,2.62
Liverpool,Sheffield United,2,0,1.2,6.5,13
