HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A
Mexico,South Africa,2,0,1.46,6.18,9.55
South Korea,Czechia,2,1,2.33,3.75,3.89
Czechia,South Africa,1,1,2.23,3.75,4.2
Mexico,South Korea,1,0,1.81,4.57,5.53
Canada,Bosnia and Herzegovina,1,1,2.02,4.04,4.77
Switzerland,Qatar,1,1,1.54,5.53,8.08
Switzerland,Bosnia and Herzegovina,4,1,1.46,6.18,9.55
Canada,Qatar,6,0,1.31,8.08,15.0
Brazil,Morocco,1,1,1.91,4.38,5.0
Scotland,Haiti,1,0,1.62,5.25,7.0
United States,Paraguay,4,1,1.54,5.53,8.08
Australia,Türkiye,2,0,2.1,4.04,4.38
Germany,Curaçao,7,1,1.17,15.0,35.0
Ivory Coast,Ecuador,1,0,2.33,3.75,3.89
Netherlands,Japan,2,2,2.02,4.04,4.77
Sweden,Tunisia,5,1,1.57,5.25,8.08
Japan,Tunisia,4,0,1.91,4.38,5.0
Belgium,Egypt,1,1,1.81,4.38,5.83
Iran,New Zealand,2,2,2.5,3.75,3.5
Belgium,Iran,0,0,1.54,5.0,8.75
Spain,Cabo Verde,0,0,1.24,10.5,21.0
Saudi Arabia,Uruguay,1,1,3.5,3.75,2.5
Spain,Saudi Arabia,4,0,1.18,11.67,27.63
France,Senegal,3,1,1.54,5.53,8.08
Norway,Iraq,4,1,1.46,6.18,9.55
Argentina,Algeria,3,0,1.31,8.75,13.12
Austria,Jordan,3,1,1.46,6.18,9.55
Portugal,DR Congo,1,1,1.4,7.0,10.5
Colombia,Uzbekistan,3,1,1.46,5.83,10.5
England,Croatia,4,2,1.54,5.25,8.75
Ghana,Panama,1,0,2.5,3.75,3.5
Scotland,Morocco,0,1,5.53,4.2,1.88
Brazil,Haiti,3,0,1.19,13.12,26.25
United States,Australia,2,0,1.75,4.77,5.83
Türkiye,Paraguay,0,1,2.23,3.75,4.2
Germany,Ivory Coast,2,1,1.67,4.77,7.0
Ecuador,Curaçao,0,0,1.22,11.67,21.0
Netherlands,Sweden,5,1,1.91,3.89,5.83
New Zealand,Egypt,1,3,5.25,4.38,1.88
Uruguay,Cabo Verde,2,2,1.59,4.77,8.75
France,Iraq,3,0,1.23,10.61,23.33
Norway,Senegal,3,2,2.35,3.68,3.9
Argentina,Austria,2,0,1.82,4.32,5.8
Jordan,Algeria,1,2,8.4,4.38,1.65
Portugal,Uzbekistan,5,0,1.4,7.24,10.1
Colombia,Congo DR,1,0,1.8,3.99,6.86
England,Ghana,0,0,1.49,5.56,10.0
Panama,Croatia,0,1,6.73,4.49,1.72
Mexico,Czechia,3,0,1.97,3.96,5.22
South Korea,South Africa,0,1,2.14,3.82,4.49
Switzerland,Canada,3,1,2.7,3.49,3.38
Bosnia and Herzegovina,Qatar,3,1,1.56,5.56,7.78
Scotland,Brazil,0,3,7.61,5.07,1.6
Morocco,Haiti,4,2,1.44,6.1,10.82
Türkiye,United States,3,2,3.12,3.82,2.71
Paraguay,Australia,0,0,2.09,3.86,4.67
Ecuador,Germany,2,1,5.1,4.25,1.92
Curaçao,Ivory Coast,0,2,14.58,7.24,1.34
Japan,Sweden,1,1,2.44,3.68,3.68
Tunisia,Netherlands,1,3,9.63,5.59,1.49
