HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365O25,B365U25
Chelsea,Fulham,1,0,1.2,6.5,15,,
Everton,Bolton,1,1,1.62,3.75,6,,
Man City,Man United,0,0,2.63,3.25,2.75,,
Newcastle,Blackburn,1,2,1.91,3.4,4.2,,
West Ham,West Brom,2,2,2.3,3.25,3.2,,
Wigan,Liverpool,1,1,4.75,3.6,1.75,,
Wolves,Arsenal,0,2,5.5,3.6,1.67,,
Aston Villa,Man United,2,2,4.5,3.6,1.8,,
Man City,Birmingham,0,0,1.4,4.5,8.5,,
Newcastle,Fulham,0,0,1.91,3.4,4.2,,
Stoke,Liverpool,2,0,3.75,3.25,2.1,,
Tottenham,Blackburn,4,2,1.57,3.8,6.5,,
West Ham,Blackpool,0,0,1.91,3.6,4,,
Wigan,West Brom,1,0,2.5,3.25,2.88,,
Wolves,Bolton,2,3,2.4,3.1,3.2,,
Chelsea,Sunderland,0,3,1.22,5.75,15,,
Everton,Arsenal,1,2,3.4,3.3,2.2,,
Arsenal,Tottenham,2,3,1.62,4,5.5,,
Birmingham,Chelsea,1,0,5,3.6,1.73,,
Blackpool,Wolves,2,1,2.5,3.3,2.88,,
Bolton,Newcastle,5,1,2.1,3.3,3.6,,
Liverpool,West Ham,3,0,1.57,3.8,6.5,,
Man United,Wigan,2,0,1.22,6,15,,
West Brom,Stoke,0,3,2.2,3.2,3.5,,
Blackburn,Aston Villa,2,0,2.3,3.25,3.25,,
Fulham,Man City,1,4,3.2,3.1,2.4,,
Sunderland,Everton,2,2,2.6,3.2,2.8,,
Aston Villa,Arsenal,2,4,3.4,3.3,2.2,,
Bolton,Blackpool,2,2,1.57,4.2,5.5,,
Everton,West Brom,1,4,1.57,3.8,6.5,,
Fulham,Birmingham,1,1,2,3.3,4,,
Man United,Blackburn,7,1,1.25,5.5,13,,
Stoke,Man City,1,1,3.4,3.25,2.2,,
West Ham,Wigan,3,1,2,3.5,3.75,,
Wolves,Sunderland,3,2,2.6,3.2,2.8,,
Newcastle,Chelsea,1,1,5,3.6,1.73,,
Tottenham,Liverpool,2,1,2,3.4,3.8,,
Arsenal,Fulham,2,1,1.29,5.25,12,,
Birmingham,Tottenham,1,1,3.5,3.4,2.1,,
Blackburn,Wolves,3,0,1.73,3.6,5,,
Chelsea,Everton,1,1,1.36,4.75,9,,
Man City,Bolton,1,0,1.53,4,6.5,,
Wigan,Stoke,2,2,2.75,3.2,2.63,,
Sunderland,West Ham,1,0,1.83,3.5,4.5,,
West Brom,Newcastle,3,1,2.25,3.3,3.25,,
Liverpool,Aston Villa,3,0,1.62,3.75,6,,
Aston Villa,West Brom,2,1,2.1,3.3,3.6,,
Everton,Wigan,0,0,1.4,4.5,9,,
Fulham,Sunderland,0,0,2.2,3.25,3.4,,
Newcastle,Liverpool,3,1,3.8,3.4,2,,
Stoke,Blackpool,0,1,1.62,4,5.5,,
West Ham,Man City,1,3,4.5,3.6,1.8,,
Bolton,Blackburn,2,1,2,3.3,4,,
Tottenham,Chelsea,1,1,2.8,3.25,2.6,,
Wolves,Birmingham,1,0,2.4,3.25,3,,
Man United,Arsenal,1,0,2,3.4,3.8,,
Blackburn,West Ham,1,1,1.8,3.6,4.5,,
Sunderland,Bolton,1,0,2.2,3.2,3.5,,
Man City,Everton,1,2,1.73,3.6,5,,
Aston Villa,Tottenham,1,2,3.2,3.3,2.3,,
Blackburn,Stoke,0,2,2.3,3.2,3.2,,
Bolton,West Brom,2,0,2.1,3.25,3.75,,
Fulham,West Ham,1,3,1.91,3.4,4.2,,
Man United,Sunderland,2,0,1.29,5.5,11,,
Newcastle,Man City,1,3,3.25,3.25,2.25,,
Wolves,Wigan,1,2,2.1,3.3,3.6,,
Arsenal,Chelsea,3,1,2.63,3.2,2.75,,
Birmingham,Man United,1,1,6.5,4.33,1.5,,
Man City,Aston Villa,4,0,1.44,4.2,8,,
Stoke,Fulham,0,2,1.83,3.4,4.75,,
Sunderland,Blackpool,0,2,1.62,3.75,6,,
Tottenham,Newcastle,2,0,1.53,4,6.5,,
West Brom,Blackburn,1,3,1.83,3.5,4.5,,
West Ham,Everton,1,1,3.4,3.2,2.25,,
Chelsea,Bolton,1,0,1.29,5.5,11,,
Liverpool,Wolves,0,1,1.33,5,10,,
Wigan,Arsenal,2,2,6.5,4.2,1.5,,
Birmingham,Arsenal,0,3,5.5,3.6,1.67,,
Liverpool,Bolton,2,1,1.7,3.75,5,,
Man City,Blackpool,1,0,1.29,5.5,10,,
Stoke,Everton,2,0,2.63,3.2,2.75,,
Sunderland,Blackburn,3,0,1.83,3.5,4.5,,
Tottenham,Fulham,1,0,1.4,4.5,8.5,,
West Brom,Man United,1,2,6,4.2,1.53,,
West Ham,Wolves,2,0,2,3.4,3.8,,
Chelsea,Aston Villa,3,3,1.25,5.5,13,,
Wigan,Newcastle,0,1,2.5,3.2,2.9,,
Blackpool,Birmingham,1,2,2.3,3.25,3.25,,
Fulham,West Brom,3,0,2.2,3.25,3.4,,
Man United,Stoke,2,1,1.25,5.75,12,,
Arsenal,Man City,0,0,1.91,3.6,4,,
Aston Villa,Sunderland,0,1,2.2,3.25,3.4,,
Blackburn,Liverpool,3,1,3.4,3.25,2.2,,
Bolton,Wigan,1,1,1.73,3.6,5,,
Everton,Tottenham,2,1,2.63,3.25,2.75,,
Newcastle,West Ham,5,0,1.83,3.6,4.33,,
Wolves,Chelsea,1,0,8,4.2,1.44,,
Blackpool,Liverpool,2,1,3.8,3.75,1.91,,
Chelsea,Blackburn,2,0,1.29,5.5,11,,
Man City,Wolves,4,3,1.33,5,10,,
Stoke,Bolton,2,0,2.1,3.25,3.75,,
West Brom,Blackpool,3,2,1.8,3.6,4.5,,
West Ham,Arsenal,0,3,6,4,1.57,,
Wigan,Fulham,1,1,2.5,3.25,2.88,,
Birmingham,Aston Villa,1,1,2.4,3.2,3.1,,
Liverpool,Everton,2,2,2.2,3.2,3.5,,
Sunderland,Newcastle,1,1,2.2,3.25,3.4,,
Tottenham,Man United,0,0,2.88,3.3,2.5,,
Arsenal,Wigan,3,0,1.2,6.5,15,,
Aston Villa,Man City,1,0,3.5,3.4,2.1,,
Blackpool,Sunderland,1,2,2.5,3.25,2.88,,
Everton,West Ham,2,2,1.5,4,7.5,,
Fulham,Stoke,2,0,2.2,3.2,3.5,,
Man United,Birmingham,5,0,1.2,6.5,15,,
Newcastle,Tottenham,1,1,3.5,3.4,2.1,,
Wolves,Liverpool,0,3,3.4,3.2,2.25,,
Blackburn,West Brom,2,0,2.25,3.3,3.25,,
Bolton,Chelsea,0,4,6,3.75,1.62,,
Blackpool,Man United,2,3,8,5,1.36,,
Wigan,Aston Villa,1,2,3.2,3.25,2.3,,
Liverpool,Fulham,1,0,1.53,3.8,7,,
Arsenal,Everton,2,1,1.4,4.5,8.5,,
Man United,Aston Villa,3,1,1.33,5,9.5,,
Sunderland,Chelsea,2,4,5.5,3.6,1.67,,
West Brom,Wigan,2,2,1.73,3.6,5,,
Birmingham,Man City,2,2,4.5,3.5,1.83,,
Blackburn,Tottenham,0,1,3.25,3.4,2.2,,
Blackpool,West Ham,1,3,2.38,3.3,3,,
Bolton,Wolves,1,0,1.83,3.5,4.5,,
Fulham,Newcastle,1,0,2.1,3.3,3.6,,
Liverpool,Stoke,2,0,1.62,3.75,6,,
Aston Villa,Fulham,2,2,1.91,3.4,4.2,,
Everton,Blackpool,5,3,1.44,4.5,7,,
Man City,West Brom,3,0,1.4,4.5,8.5,,
Newcastle,Arsenal,4,4,5,4,1.67,,
Stoke,Sunderland,3,2,2.1,3.2,3.75,,
Tottenham,Bolton,2,1,1.57,4,6,,
Wigan,Blackburn,4,3,2.5,3.25,2.9,,
Wolves,Man United,2,1,8.5,4.5,1.4,,
Chelsea,Liverpool,0,1,1.62,4,5.5,,
West Ham,Birmingham,0,1,2,3.5,3.75,,
Arsenal,Wolves,2,0,1.22,6,15,,
Birmingham,Stoke,1,0,2.5,3.2,2.9,,
Blackburn,Newcastle,0,0,2.1,3.4,3.5,,
Blackpool,Aston Villa,1,1,3.25,3.4,2.2,,
Liverpool,Wigan,1,1,1.36,4.75,9,,
Man United,Man City,2,1,1.73,3.6,5,,
Sunderland,Tottenham,1,2,2.75,3.25,2.6,,
West Brom,West Ham,3,3,1.91,3.6,4,,
Bolton,Everton,2,0,2.75,3.25,2.6,,
Fulham,Chelsea,0,0,5,3.6,1.73,,
Birmingham,Newcastle,0,2,2.6,3.2,2.8,,
West Brom,Wolves,1,1,1.85,3.4,4.5,,
Blackpool,Tottenham,3,1,4,3.6,1.91,,
Arsenal,Stoke,1,0,1.3,5.25,10,,
Aston Villa,Blackburn,4,1,1.73,3.6,5,,
Everton,Sunderland,2,0,1.73,3.6,5,,
Newcastle,Bolton,1,1,2.1,3.25,3.75,,
Wigan,Man United,0,4,6.5,4,1.53,,
Wolves,Blackpool,4,0,1.83,3.6,4.33,,
Man City,Fulham,1,1,1.5,4,7.5,,
West Ham,Liverpool,3,1,3.4,3.3,2.2,,
Stoke,West Brom,1,1,1.91,3.4,4.2,,
Chelsea,Man United,2,1,2.2,3.2,3.6,,
Arsenal,Sunderland,0,0,1.44,4.33,7.5,,
Birmingham,West Brom,1,3,2.38,3.2,3.1,,
Bolton,Aston Villa,3,2,2.25,3.4,3.2,,
Fulham,Blackburn,3,2,1.73,3.6,5,,
Man City,Wigan,1,0,1.36,4.75,9,,
Newcastle,Everton,1,2,2.6,3.2,2.8,,
West Ham,Stoke,3,0,2.25,3.3,3.25,,
Liverpool,Man United,3,1,2.8,3.2,2.6,,
Wolves,Tottenham,3,3,3,3.3,2.38,,
Blackpool,Chelsea,1,3,10,5.5,1.3,,
Everton,Birmingham,1,1,1.53,4,6.5,,
Aston Villa,Wolves,0,1,1.83,3.5,4.5,,
Blackburn,Blackpool,2,2,1.8,3.6,4.5,,
Everton,Fulham,2,1,2,3.25,4,,
Man United,Bolton,1,0,1.36,4.75,9,,
Stoke,Newcastle,4,0,2.2,3.25,3.4,,
Tottenham,West Ham,0,0,1.57,4,6,,
West Brom,Arsenal,2,2,5,3.6,1.73,,
Wigan,Birmingham,2,1,2.1,3.3,3.6,,
Chelsea,Man City,2,0,1.62,3.75,6,,
Sunderland,Liverpool,0,2,2.63,3.2,2.75,,
Arsenal,Blackburn,0,0,1.25,6,11,,
Birmingham,Bolton,2,1,2.5,3.25,2.88,,
Everton,Aston Villa,2,2,1.83,3.6,4.33,,
Newcastle,Wolves,4,1,1.95,3.4,4,,
Stoke,Chelsea,1,1,5.5,3.6,1.67,,
West Brom,Liverpool,2,1,3,3.3,2.38,,
West Ham,Man United,2,4,4.5,3.6,1.8,,
Wigan,Tottenham,0,0,3,3.25,2.4,,
Fulham,Blackpool,3,0,1.53,4.2,6,,
Man City,Sunderland,5,0,1.5,4,7,,
Blackburn,Birmingham,1,1,2,3.3,4,,
Bolton,West Ham,3,0,2.2,3.25,3.4,,
Chelsea,Wigan,1,0,1.2,6,17,,
Man United,Fulham,2,0,1.44,4.33,7.5,,
Sunderland,West Brom,2,3,2.2,3.2,3.5,,
Tottenham,Stoke,3,2,1.73,3.6,5,,
Wolves,Everton,0,3,2.6,3.25,2.8,,
Aston Villa,Newcastle,1,0,1.83,3.6,4.33,,
Blackpool,Arsenal,1,3,8.5,5,1.36,,
Liverpool,Man City,3,0,2.6,3.2,2.8,,
Birmingham,Sunderland,2,0,2.25,3.2,3.4,,
Blackpool,Wigan,1,3,2.3,3.5,3,,
Everton,Blackburn,2,0,1.67,3.75,5.5,,
West Brom,Chelsea,1,3,5.5,3.6,1.7,,
West Ham,Aston Villa,1,2,2.25,3.3,3.25,,
Arsenal,Liverpool,1,1,1.73,3.6,5,,
Newcastle,Man United,0,0,5.5,3.6,1.67,,
Chelsea,Birmingham,3,1,1.2,6.5,15,,
Tottenham,Arsenal,3,3,2.88,3.4,2.4,,
Aston Villa,Stoke,1,1,1.8,3.6,4.5,,
Blackpool,Newcastle,1,1,2.88,3.5,2.38,,
Chelsea,West Ham,3,0,1.2,6.5,15,,
Liverpool,Birmingham,5,0,1.44,4.33,7.5,,
Man United,Everton,1,0,1.44,4.33,7.5,,
Sunderland,Wigan,4,2,2.1,3.25,3.75,,
Tottenham,West Brom,2,2,1.57,4,6,,
Wolves,Fulham,1,1,2.5,3.25,2.88,,
Bolton,Arsenal,2,1,4.5,3.8,1.75,,
Blackburn,Man City,0,1,3.6,3.3,2.1,,
Stoke,Wolves,3,0,1.8,3.4,5,,
Fulham,Bolton,3,0,1.8,3.5,4.75,,
Blackburn,Bolton,1,0,1.91,3.5,4,,
Blackpool,Stoke,0,0,2.63,3.4,2.63,,
Chelsea,Tottenham,2,1,1.44,4.33,7.5,,
Sunderland,Fulham,0,3,2.6,3.2,2.8,,
West Brom,Aston Villa,2,1,2.38,3.3,3,,
Wigan,Everton,1,1,2.8,3.25,2.6,,
Arsenal,Man United,1,0,2.5,3.25,2.88,,
Birmingham,Wolves,1,1,2.1,3.3,3.6,,
Liverpool,Newcastle,3,0,1.44,4.33,7.5,,
Man City,West Ham,2,1,1.4,4.5,9,,
Aston Villa,Wigan,1,1,1.8,3.6,4.5,,
Bolton,Sunderland,1,2,1.83,3.5,4.5,,
Everton,Man City,2,1,2.7,3.2,2.7,,
Newcastle,Birmingham,2,1,1.91,3.4,4.2,,
Tottenham,Blackpool,1,1,1.3,5.5,10,,
West Ham,Blackburn,1,1,1.95,3.6,3.8,,
Man United,Chelsea,2,1,2.38,3.25,3.1,,
Stoke,Arsenal,3,1,5.5,3.75,1.67,,
Wolves,West Brom,3,1,2.1,3.4,3.5,,
Fulham,Liverpool,2,5,2.88,3.25,2.5,,
Man City,Tottenham,1,0,1.91,3.4,4.2,,
Blackburn,Man United,1,1,5,3.6,1.73,,
