HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365O25,B365U25
Lille,Auxerre,1,0,1.85,3.25,4.6,,
Paris SG,Rennes,0,0,2.15,3.2,3.5,,
Auxerre,Nancy,2,2,2,3.2,4,,
Caen,Bordeaux,0,0,3,2.9,2.6,,
Lorient,Monaco,2,1,2.25,3,3.5,,
Lyon,St Etienne,0,1,1.7,3.4,5.5,,
Marseille,Sochaux,2,1,1.4,4.33,8.5,,
Montpellier,Arles,3,1,1.5,3.75,7.5,,
Nice,Rennes,1,2,2.75,2.9,2.8,,
Brest,Valenciennes,1,0,2.3,3.1,3.25,,
Lens,Paris SG,0,2,3,3,2.5,,
Toulouse,Lille,1,1,2.75,3,2.7,,
Arles,Auxerre,0,4,3.9,3.2,2,,
Bordeaux,Lorient,1,0,1.75,3.4,5,,
Monaco,Brest,0,1,1.91,3.2,4.33,,
Nancy,Lyon,2,3,3.5,3.1,2.2,,
Sochaux,Lens,3,0,2.1,3.2,3.6,,
St Etienne,Marseille,1,1,2.88,3.2,2.45,,
Valenciennes,Caen,2,1,2.2,3.1,3.5,,
Lille,Montpellier,3,1,1.7,3.4,5.25,,
Paris SG,Nice,0,0,1.62,3.6,6,,
Rennes,Toulouse,3,1,2,3.1,4.1,,
Auxerre,Bordeaux,0,1,2.5,3,3,,
Brest,Arles,0,0,1.57,3.6,6.5,,
Caen,Monaco,0,0,2.25,3,3.5,,
Marseille,Nancy,1,0,1.44,4.2,7.5,,
Montpellier,Sochaux,2,0,2,3.2,4,,
Toulouse,Paris SG,0,2,2.75,3,2.75,,
Lens,Rennes,0,0,3.2,3,2.4,,
Lorient,Valenciennes,2,1,2,3.2,4,,
Lyon,Lille,3,1,2.1,3.2,3.6,,
Nice,St Etienne,2,1,2.8,3,2.7,,
Bordeaux,Brest,0,2,1.6,3.6,6,,
Lens,Nice,1,0,2.15,3.1,3.6,,
Monaco,Valenciennes,0,2,2,3.2,3.9,,
Nancy,Lorient,1,0,2.35,3,3.25,,
Rennes,Montpellier,0,1,1.83,3.3,4.6,,
Sochaux,Toulouse,1,3,2.25,3,3.5,,
St Etienne,Caen,1,1,1.8,3.3,4.75,,
Arles,Lyon,1,1,7,4,1.5,,
Lille,Marseille,1,3,2.5,3.1,2.9,,
Paris SG,Auxerre,2,3,1.75,3.4,5,,
Auxerre,Nice,2,0,1.95,3.1,4.33,,
Brest,St Etienne,2,0,2.63,2.88,3,,
Caen,Nancy,2,3,2.05,3,4,,
Lorient,Arles,2,0,1.5,4,6.5,,
Lyon,Sochaux,2,1,1.5,4,6.5,,
Toulouse,Lens,1,1,1.75,3.3,5.25,,
Montpellier,Paris SG,1,1,2.6,2.9,3,,
Valenciennes,Lille,1,1,3.4,3,2.3,,
Monaco,Bordeaux,2,2,2.8,2.9,2.75,,
Arles,Caen,3,2,3.25,3,2.38,,
Bordeaux,Valenciennes,1,1,1.73,3.3,5.5,,
Rennes,Lyon,1,1,2.7,3,2.8,,
Sochaux,Auxerre,1,1,2.25,3,3.5,,
St Etienne,Lorient,1,2,1.91,3.25,4.33,,
Lens,Montpellier,2,0,2.38,3,3.25,,
Lille,Brest,3,1,1.67,3.5,5.5,,
Nancy,Monaco,0,4,2.2,3,3.6,,
Nice,Toulouse,2,0,2.6,3,2.9,,
Paris SG,Marseille,2,1,2.5,3.1,2.9,,
Bordeaux,Nancy,2,1,1.75,3.3,5.25,,
Brest,Sochaux,1,1,2,3.2,4,,
Caen,Lille,2,5,3.5,3,2.25,,
Marseille,Lens,1,1,1.4,4.2,9,,
Monaco,Arles,0,0,1.53,3.6,7.5,,
Montpellier,Toulouse,1,0,2.05,3.2,3.8,,
Auxerre,Rennes,2,1,2.4,3,3.2,,
Lorient,Paris SG,1,1,3,3,2.5,,
Lyon,Nice,1,0,1.36,4.5,9,,
Nancy,Valenciennes,2,0,2.15,3.1,3.6,,
Nice,Montpellier,0,1,2.5,3,3,,
Paris SG,Caen,2,1,1.53,3.75,7,,
Rennes,Brest,2,1,1.75,3.4,5,,
Sochaux,Lorient,2,0,2.3,3,3.4,,
St Etienne,Auxerre,1,1,2.2,3,3.6,,
Toulouse,Marseille,0,1,3.25,3,2.38,,
Arles,Bordeaux,2,4,5.5,3.5,1.67,,
Lens,Lyon,1,3,3.8,3.1,2.1,,
Lille,Monaco,2,1,1.53,3.75,7,,
Bordeaux,Lille,1,1,2.38,3,3.25,,
Lorient,Rennes,2,0,2.45,3,3.1,,
Marseille,Montpellier,4,0,1.53,3.6,7.5,,
Monaco,Nice,1,1,1.91,3.2,4.33,,
Nancy,St Etienne,1,1,2.25,3,3.5,,
Valenciennes,Arles,3,0,1.5,3.6,8,,
Auxerre,Toulouse,1,2,2,3.1,4.1,,
Caen,Sochaux,0,3,2.2,3.1,3.4,,
Lyon,Paris SG,2,2,1.91,3.25,4.2,,
Brest,Lens,4,1,2.05,3.1,4,,
Marseille,Rennes,0,0,1.67,3.5,5.5,,
Valenciennes,St Etienne,1,1,2.2,3.1,3.5,,
Arles,Nancy,1,1,3.5,3.1,2.2,,
Lens,Auxerre,1,1,2.4,3,3.2,,
Lille,Lorient,6,3,1.53,3.75,7,,
Montpellier,Lyon,1,2,3.2,3,2.4,,
Rennes,Monaco,1,0,1.73,3.4,5.25,,
Sochaux,Valenciennes,2,1,2,3.2,4,,
Toulouse,Caen,1,0,1.7,3.4,5.5,,
Nice,Marseille,1,0,4,3.2,2,,
Paris SG,Brest,3,1,1.6,3.6,6,,
St Etienne,Bordeaux,2,2,2.5,3,3,,
Arles,Lille,0,1,7.5,3.8,1.5,,
Auxerre,Marseille,1,1,3.2,3.1,2.3,,
Brest,Montpellier,0,0,2.4,3,3.2,,
Caen,Nice,0,0,2.05,3.1,3.9,,
Lorient,Lens,3,0,1.91,3.3,4.2,,
Nancy,Sochaux,1,0,2.1,3.2,3.6,,
Valenciennes,Paris SG,1,2,3.2,3.1,2.35,,
Bordeaux,Rennes,0,0,2.05,3.1,3.9,,
Lyon,Toulouse,2,0,1.53,3.7,7,,
Monaco,St Etienne,0,2,2.4,3.1,3.1,,
Montpellier,Auxerre,1,1,2.1,3.1,3.8,,
Nice,Brest,1,1,2.4,3,3.2,,
Paris SG,Monaco,2,2,1.53,3.75,7,,
Rennes,Valenciennes,1,0,1.8,3.3,4.75,,
St Etienne,Arles,2,0,1.36,4.5,9,,
Toulouse,Lorient,3,0,2.1,3.1,3.8,,
Marseille,Lyon,1,1,2.1,3.25,3.6,,
Sochaux,Bordeaux,1,1,2.7,3,2.75,,
Lorient,Montpellier,0,0,2.1,3.1,3.8,,
Arles,Nice,0,0,3.25,3.1,2.3,,
Bordeaux,Lens,2,2,1.57,3.6,6.5,,
Brest,Marseille,0,0,3.8,3,2.15,,
Caen,Rennes,1,0,3,3,2.5,,
Lille,St Etienne,1,1,1.44,4.1,7.5,,
Lyon,Auxerre,1,1,1.53,3.75,7,,
Monaco,Sochaux,2,1,2.15,3,3.7,,
Nancy,Paris SG,2,0,3.5,3.1,2.2,,
Valenciennes,Toulouse,2,1,2.3,3,3.4,,
Auxerre,Monaco,1,1,1.83,3.25,4.75,,
Brest,Caen,1,3,1.91,3.2,4.33,,
Lens,St Etienne,2,1,2.5,3,3,,
Lyon,Lorient,3,0,1.5,4,7,,
Montpellier,Valenciennes,2,1,1.91,3.2,4.33,,
Nice,Lille,0,2,4.33,3.2,1.91,,
Paris SG,Sochaux,2,1,1.5,4,7,,
Rennes,Arles,4,0,1.36,4.5,9,,
Toulouse,Nancy,1,0,2.1,3.2,3.6,,
Marseille,Bordeaux,2,1,1.73,3.4,5,,
Lille,Nancy,3,0,1.4,4.2,8.5,,
Lens,Caen,2,0,2.1,3.1,3.75,,
Arles,Paris SG,1,2,7,4,1.5,,
Caen,Auxerre,2,0,2.4,3,3.2,,
Lille,Lens,1,0,1.36,4.5,9,,
Lorient,Brest,2,0,1.91,3.25,4.33,,
Sochaux,Rennes,5,1,2.4,3,3.2,,
St Etienne,Toulouse,2,1,2.2,3,3.6,,
Valenciennes,Lyon,2,1,3.75,3.1,2.1,,
Bordeaux,Nice,2,0,1.67,3.5,5.5,,
Monaco,Marseille,0,0,3.6,3,2.2,,
Nancy,Montpellier,1,2,2.25,3.1,3.4,,
Brest,Nancy,2,1,2.1,3.25,3.5,,
Caen,Lorient,0,2,2.3,3.1,3.25,,
Lens,Valenciennes,1,1,2.1,3.25,3.5,,
Marseille,Arles,1,0,1.2,6.5,13,,
Montpellier,St Etienne,1,2,2.1,3.25,3.5,,
Nice,Sochaux,1,0,2.2,3.1,3.4,,
Rennes,Paris SG,1,0,2.5,3.1,2.9,,
Auxerre,Lille,1,1,3.5,3.25,2.1,,
Lyon,Bordeaux,0,0,1.73,3.5,5,,
Toulouse,Monaco,2,0,1.9,3.25,4.33,,
Arles,Montpellier,0,0,4.75,3.3,1.8,,
Bordeaux,Caen,1,2,1.57,3.6,6.5,,
Monaco,Lorient,3,1,2.2,3,3.6,,
Nancy,Auxerre,3,1,2.25,3,3.5,,
Paris SG,Lens,0,0,1.4,4.5,9,,
Sochaux,Marseille,1,2,3.4,3.2,2.2,,
St Etienne,Lyon,1,4,3.25,3,2.38,,
Lille,Toulouse,2,0,1.5,3.8,7.5,,
Rennes,Nice,2,0,1.53,3.75,7,,
Valenciennes,Brest,3,0,2.15,3.1,3.6,,
Lyon,Nancy,4,0,1.44,3.8,9.5,,
Auxerre,Arles,1,1,1.36,4.33,9.5,,
Brest,Monaco,2,0,2.5,3,3,,
Caen,Valenciennes,2,2,2.2,3.1,3.5,,
Lens,Sochaux,2,3,2,3.2,4,,
Lorient,Bordeaux,5,1,2.38,3,3.25,,
Marseille,St Etienne,2,1,1.55,3.6,7,,
Montpellier,Lille,1,0,3.4,3,2.25,,
Nice,Paris SG,0,3,3.75,3.1,2.1,,
Toulouse,Rennes,1,2,2.4,3,3.2,,
Arles,Brest,1,1,3.2,3,2.38,,
Bordeaux,Auxerre,3,0,1.75,3.3,5.25,,
Monaco,Caen,2,2,1.91,3.1,4.5,,
Rennes,Lens,2,0,1.73,3.5,5,,
Sochaux,Montpellier,0,0,2.3,3,3.4,,
St Etienne,Nice,0,2,1.75,3.3,5.25,,
Valenciennes,Lorient,0,0,2.1,3.1,3.75,,
Lille,Lyon,1,1,2.1,3.25,3.6,,
Nancy,Marseille,1,2,3.75,3.2,2.05,,
Paris SG,Toulouse,2,1,1.62,3.6,6,,
Auxerre,Paris SG,1,0,3.25,3.1,2.3,,
Caen,St Etienne,1,0,2.38,3.1,3.1,,
Lorient,Nancy,0,0,1.8,3.3,4.75,,
Montpellier,Rennes,0,1,2.3,3.1,3.2,,
Nice,Lens,0,0,2.2,3.1,3.5,,
Toulouse,Sochaux,0,1,1.9,3.25,4.33,,
Valenciennes,Monaco,0,0,2.1,3.1,3.75,,
Brest,Bordeaux,1,3,2.75,3.1,2.63,,
Lyon,Arles,5,0,1.2,6,15,,
Marseille,Lille,1,2,2.1,3.25,3.6,,
Rennes,Marseille,0,2,2.63,3,2.88,,
Arles,Lorient,3,3,4,3.2,2,,
Lens,Toulouse,0,1,2.5,3,3,,
Nancy,Caen,2,0,2.1,3.2,3.6,,
Nice,Auxerre,1,0,2.5,3,3,,
Sochaux,Lyon,0,2,3.6,3.25,2.1,,
St Etienne,Brest,2,0,1.91,3.3,4.2,,
Bordeaux,Monaco,0,1,1.83,3.25,4.75,,
Lille,Valenciennes,2,1,1.44,4,8,,
Paris SG,Montpellier,2,2,1.7,3.4,5.5,,
Auxerre,Sochaux,2,0,2.05,3.2,3.75,,
Brest,Lille,1,2,4.33,3.2,1.91,,
Lorient,St Etienne,0,0,2.05,3.2,3.8,,
Lyon,Rennes,1,1,1.8,3.3,4.75,,
Montpellier,Lens,1,4,1.8,3.4,4.6,,
Toulouse,Nice,1,1,1.8,3.25,5.25,,
Valenciennes,Bordeaux,2,2,2.5,3,3,,
Caen,Arles,2,0,1.6,3.5,6.5,,
Marseille,Paris SG,2,1,2,3.2,4,,
Monaco,Nancy,0,1,2,3.1,4.1,,
Arles,Monaco,0,2,4.33,3.25,1.91,,
Lille,Caen,3,1,1.3,4.75,12,,
Nancy,Bordeaux,0,0,2.7,2.9,2.88,,
Paris SG,Lorient,0,0,1.73,3.4,5.25,,
Rennes,Auxerre,0,0,1.7,3.4,5.5,,
Sochaux,Brest,2,1,1.95,3.2,4.2,,
Toulouse,Montpellier,0,1,2.2,3,3.6,,
Lens,Marseille,0,1,3.8,3.2,2.05,,
Nice,Lyon,2,2,4.75,3.2,1.85,,
St Etienne,Valenciennes,1,1,2,3.2,4,,
Auxerre,St Etienne,2,2,2.1,3.1,3.75,,
Bordeaux,Arles,0,0,1.29,5,12,,
Brest,Rennes,2,0,3.25,3,2.38,,
Caen,Paris SG,1,2,3.5,3.1,2.2,,
Lorient,Sochaux,1,1,1.85,3.3,4.5,,
Monaco,Lille,1,0,3.75,3.2,2.05,,
Valenciennes,Nancy,1,1,1.91,3.25,4.2,,
Lyon,Lens,3,0,1.33,4.5,11,,
Marseille,Toulouse,2,2,1.44,4,8,,
Montpellier,Nice,1,1,1.73,3.3,5.5,,
Lens,Brest,1,1,2,3.1,4.1,,
Lille,Bordeaux,1,1,1.62,3.6,5.75,,
Nice,Monaco,3,2,2.5,3,3,,
Rennes,Lorient,1,2,1.91,3.1,4.5,,
Sochaux,Caen,3,2,1.95,3.2,4.1,,
St Etienne,Nancy,2,1,1.95,3.2,4.1,,
Toulouse,Auxerre,0,1,2.1,3,3.9,,
Arles,Valenciennes,0,1,4,3.25,1.95,,
Montpellier,Marseille,1,2,3.5,3,2.25,,
Paris SG,Lyon,1,0,2.55,3,2.9,,
Auxerre,Lens,1,1,2,3.1,4.2,,
Bordeaux,St Etienne,2,0,1.91,3.4,4,,
Brest,Paris SG,2,2,3.25,3.1,2.3,,
Caen,Toulouse,1,1,2.5,3,3,,
Lorient,Lille,1,1,3.25,3.1,2.3,,
Monaco,Rennes,1,0,2.2,3,3.6,,
Nancy,Arles,0,0,1.5,3.75,7.5,,
Valenciennes,Sochaux,1,1,2.05,3.1,4,,
Lyon,Montpellier,3,2,1.4,4.33,8.5,,
Marseille,Nice,4,2,1.4,4.33,8.5,,
Lens,Lorient,2,3,2.4,3,3.2,,
Lille,Arles,5,0,1.14,7.5,17,,
Paris SG,Valenciennes,3,1,1.5,3.8,7.5,,
Rennes,Bordeaux,0,0,2.25,3.1,3.4,,
Sochaux,Nancy,1,0,2,3.3,3.8,,
Marseille,Auxerre,1,1,1.4,4.33,8.5,,
Montpellier,Brest,0,0,1.95,3.2,4.2,,
Nice,Caen,0,4,2.05,3.2,3.8,,
St Etienne,Monaco,1,1,2.1,3.1,3.75,,
Toulouse,Lyon,2,0,4.1,3.1,2,,
Arles,St Etienne,0,1,4.2,3.25,1.91,,
Auxerre,Montpellier,1,0,2.2,3,3.6,,
Bordeaux,Sochaux,0,4,1.75,3.4,5,,
Brest,Nice,0,0,2,3,4.33,,
Caen,Lens,1,1,2.1,3.1,3.8,,
Lorient,Toulouse,0,0,2,3.2,4,,
Monaco,Paris SG,1,1,3.25,3,2.38,,
Nancy,Lille,0,1,4,3.2,2,,
Lyon,Marseille,3,2,2.25,3.2,3.25,,
Valenciennes,Rennes,2,0,2.4,3,3.2,,
Paris SG,Nancy,2,2,1.44,4.2,7.5,,
St Etienne,Lille,1,2,3.6,3.2,2.1,,
Auxerre,Lyon,4,0,3.4,3.2,2.2,,
Lens,Bordeaux,1,0,2.6,3.2,2.7,,
Marseille,Brest,3,0,1.36,4.5,9,,
Montpellier,Lorient,3,1,2.4,3,3.2,,
Nice,Arles,3,2,1.4,4.33,8.5,,
Rennes,Caen,1,1,1.85,3.4,4.33,,
Sochaux,Monaco,3,0,2.1,3.2,3.6,,
Toulouse,Valenciennes,0,0,2.05,3.25,3.75,,
Arles,Toulouse,1,0,4.5,3.4,1.83,,
Caen,Montpellier,2,0,2,3.3,3.75,,
Lorient,Marseille,2,2,3.6,3.3,2.05,,
Monaco,Lens,1,1,1.83,3.4,4.5,,
Nancy,Nice,3,0,1.95,3.3,4,,
St Etienne,Rennes,1,2,2.25,3,3.5,,
Valenciennes,Auxerre,1,1,2.1,3,3.9,,
Brest,Lyon,1,1,3.8,3.3,2,,
Bordeaux,Paris SG,1,0,2.75,3.2,2.6,,
Lille,Sochaux,1,0,1.36,4.5,9,,
Auxerre,Brest,0,1,2.3,3,3.4,,
Lens,Arles,0,1,1.62,3.5,5.25,,
Lyon,Caen,0,0,1.4,4.5,7.5,,
Marseille,Valenciennes,2,2,1.44,4.33,7,,
Montpellier,Monaco,0,1,3.1,3.25,2.3,,
Nice,Lorient,2,0,1.75,3.4,5,,
Paris SG,Lille,2,2,2.2,3.25,3.25,,
Rennes,Nancy,0,2,1.91,3.3,4.2,,
Sochaux,St Etienne,2,1,1.95,3.3,4,,
Toulouse,Bordeaux,2,0,2.25,3.2,3.25,,
Arles,Sochaux,1,3,4.75,3.5,1.75,,
Bordeaux,Montpellier,2,0,1.91,3.3,4.1,,
Brest,Toulouse,0,2,2,3.1,4.1,,
Caen,Marseille,2,2,2.1,3.25,3.5,,
Lille,Rennes,3,2,1.8,3.4,4.6,,
Lorient,Auxerre,1,2,2.4,3,3.2,,
Monaco,Lyon,0,2,3,3.2,2.4,,
Nancy,Lens,4,0,1.4,4.2,9,,
St Etienne,Paris SG,1,1,4.75,3.5,1.75,,
Valenciennes,Nice,2,1,1.91,3.1,4.5,,
Blackburn,Wolves,1,2,2.2,3.2,3.5,,
Fulham,Aston Villa,0,0,2.2,3.2,3.5,,
Liverpool,Sunderland,1,1,1.57,3.6,7,,
Newcastle,Arsenal,0,0,3.75,3.25,2.1,,
QPR,Bolton,0,4,2.4,3.25,3,,
Wigan,Norwich,1,1,2.2,3.2,3.5,,
Stoke,Chelsea,0,0,5.5,3.5,1.7,,
West Brom,Man United,1,2,6.5,4,1.53,,
Man City,Swansea,4,0,1.29,5,13,,
Arsenal,Liverpool,0,2,2.5,3.25,2.9,,
Aston Villa,Blackburn,3,1,1.73,3.4,5.5,,
Chelsea,West Brom,2,1,1.3,5.5,10,,
Everton,QPR,0,1,1.53,3.8,7,,
Sunderland,Newcastle,0,1,2.2,3.25,3.4,,
Swansea,Wigan,0,0,2.1,3.3,3.6,,
Bolton,Man City,2,3,4.75,3.5,1.8,,
Norwich,Stoke,1,1,2.6,3.3,2.75,,
Wolves,Fulham,2,0,2.38,3.25,3.1,,
Man United,Tottenham,3,0,1.67,3.75,5.5,,
Aston Villa,Wolves,0,0,2.1,3.25,3.75,,
Blackburn,Everton,0,1,3.3,3.25,2.25,,
Chelsea,Norwich,3,1,1.2,6.5,15,,
Liverpool,Bolton,3,1,1.4,4.5,8.5,,
Swansea,Sunderland,0,0,2.38,3.3,3,,
Wigan,QPR,2,0,2.25,3.3,3.25,,
Man United,Arsenal,8,2,1.5,4.33,6.5,,
Newcastle,Fulham,2,1,2.1,3.25,3.75,,
Tottenham,Man City,1,5,2.88,3.3,2.5,,
West Brom,Stoke,0,1,2.1,3.25,3.75,,
Arsenal,Swansea,1,0,1.36,4.75,9,,
Bolton,Man United,0,5,9,4.5,1.4,,
Everton,Aston Villa,2,2,2,3.4,3.8,,
Man City,Wigan,3,0,1.17,7,17,,
Stoke,Liverpool,1,0,3.25,3.3,2.25,,
Sunderland,Chelsea,1,2,5,3.75,1.7,,
Wolves,Tottenham,0,2,3,3.25,2.4,,
Fulham,Blackburn,1,1,1.67,3.6,5.5,,
Norwich,West Brom,0,1,2.5,3.25,2.88,,
QPR,Newcastle,0,0,2.4,3.25,3,,
Aston Villa,Newcastle,1,1,1.91,3.4,4.2,,
Blackburn,Arsenal,4,3,4.2,3.4,1.91,,
Bolton,Norwich,1,2,1.8,3.6,4.6,,
Everton,Wigan,3,1,1.5,4,7,,
Swansea,West Brom,3,0,2.63,3.2,2.75,,
Wolves,QPR,0,3,1.91,3.4,4.2,,
Fulham,Man City,2,2,6.5,3.8,1.57,,
Man United,Chelsea,3,1,1.83,3.5,4.5,,
Sunderland,Stoke,4,0,2.4,3.2,3.1,,
Tottenham,Liverpool,4,0,2.63,3.4,2.63,,
Arsenal,Bolton,3,0,1.44,4.5,7,,
Chelsea,Swansea,4,1,1.2,6.5,15,,
Liverpool,Wolves,2,1,1.36,4.5,10,,
Man City,Everton,2,0,1.44,4.33,7.5,,
Newcastle,Blackburn,3,1,1.83,3.5,4.5,,
Stoke,Man United,1,1,6.5,4,1.53,,
West Brom,Fulham,0,0,2.3,3.25,3.25,,
Wigan,Tottenham,1,2,4,3.5,1.91,,
QPR,Aston Villa,1,1,2.3,3.25,3.2,,
Norwich,Sunderland,2,1,2.5,3.4,2.8,,
Aston Villa,Wigan,2,0,1.62,3.75,6,,
Blackburn,Man City,0,4,6.5,3.75,1.57,,
Everton,Liverpool,0,2,3.1,3.2,2.4,,
Man United,Norwich,2,0,1.17,7,17,,
Sunderland,West Brom,2,2,2.25,3.4,3.2,,
Wolves,Newcastle,1,2,2.5,3.25,2.88,,
Bolton,Chelsea,1,5,6.5,4,1.53,,
Fulham,QPR,6,0,2,3.3,4,,
Swansea,Stoke,2,0,2.63,3.25,2.75,,
Tottenham,Arsenal,2,1,2.1,3.4,3.5,,
Chelsea,Everton,3,1,1.36,4.5,10,,
Liverpool,Man United,1,1,3,3.3,2.4,,
Man City,Aston Villa,4,1,1.33,5,10,,
Norwich,Swansea,3,1,2.2,3.3,3.4,,
QPR,Blackburn,1,1,1.83,3.5,4.5,,
Stoke,Fulham,2,0,2.2,3.2,3.5,,
Wigan,Bolton,1,3,2.3,3.3,3.2,,
Arsenal,Sunderland,2,1,1.44,4.33,7.5,,
Newcastle,Tottenham,2,2,3,3.3,2.4,,
West Brom,Wolves,2,0,2,3.3,4,,
Aston Villa,West Brom,1,2,2,3.3,4,,
Bolton,Sunderland,0,2,2.2,3.2,3.5,,
Liverpool,Norwich,1,1,1.29,5.5,11,,
Newcastle,Wigan,1,0,1.57,3.8,6.5,,
Wolves,Swansea,2,2,2,3.4,3.8,,
Arsenal,Stoke,3,1,1.53,4,6.5,,
Blackburn,Tottenham,1,2,4,3.5,1.91,,
Fulham,Everton,1,3,2.25,3.25,3.3,,
Man United,Man City,1,6,2,3.4,3.8,,
QPR,Chelsea,1,0,9.5,5,1.33,,
Chelsea,Arsenal,3,5,1.62,4,5.5,,
Everton,Man United,0,1,4.5,3.6,1.8,,
Man City,Wolves,3,1,1.17,7,19,,
Norwich,Blackburn,3,3,1.91,3.6,4,,
Sunderland,Aston Villa,2,2,2.1,3.3,3.6,,
Swansea,Bolton,3,1,2.1,3.3,3.6,,
West Brom,Liverpool,0,2,4,3.3,2,,
Wigan,Fulham,0,2,2.88,3.25,2.5,,
Tottenham,QPR,3,1,1.36,4.75,9,,
Stoke,Newcastle,1,3,2.1,3.2,3.8,,
Arsenal,West Brom,3,0,1.4,4.5,8.5,,
Aston Villa,Norwich,3,2,1.83,3.5,4.5,,
Blackburn,Chelsea,0,1,7.5,4.33,1.44,,
Liverpool,Swansea,0,0,1.29,5.5,10,,
Man United,Sunderland,1,0,1.25,5.5,13,,
Newcastle,Everton,2,1,2.25,3.25,3.3,,
QPR,Man City,2,3,10,5,1.33,,
Bolton,Stoke,5,0,2.4,3.3,3,,
Fulham,Tottenham,1,3,3.25,3.3,2.25,,
Wolves,Wigan,3,1,1.91,3.3,4.33,,
Everton,Wolves,2,1,1.57,3.75,6.5,,
Man City,Newcastle,3,1,1.3,5.5,10,,
Norwich,Arsenal,1,2,5.5,3.6,1.67,,
Stoke,QPR,2,3,1.83,3.5,4.5,,
Sunderland,Fulham,0,0,2.3,3.25,3.2,,
Swansea,Man United,0,1,6.5,4.2,1.5,,
West Brom,Bolton,2,1,2,3.4,3.8,,
Wigan,Blackburn,3,3,2.5,3.25,2.88,,
Chelsea,Liverpool,1,2,1.83,3.5,4.5,,
Tottenham,Aston Villa,2,0,1.57,4,6,,
Arsenal,Fulham,1,1,1.44,4.2,8,,
Bolton,Everton,0,2,3.1,3.25,2.38,,
Chelsea,Wolves,3,0,1.22,6,15,,
Man United,Newcastle,1,1,1.4,4.5,8.5,,
Norwich,QPR,2,1,2.1,3.4,3.5,,
Stoke,Blackburn,3,1,1.83,3.5,4.5,,
Sunderland,Wigan,1,2,1.67,3.6,5.5,,
West Brom,Tottenham,1,3,4,3.6,1.91,,
Liverpool,Man City,1,1,2.75,3.2,2.63,,
Swansea,Aston Villa,0,0,2.2,3.25,3.4,,
Aston Villa,Man United,0,1,5,3.6,1.73,,
Blackburn,Swansea,4,2,2.1,3.4,3.5,,
Man City,Norwich,5,1,1.17,7,17,,
Newcastle,Chelsea,0,3,3.5,3.4,2.1,,
QPR,West Brom,1,1,2.25,3.3,3.25,,
Tottenham,Bolton,3,0,1.3,5,12,,
Wigan,Arsenal,0,4,6,4,1.57,,
Everton,Stoke,0,1,1.67,3.6,5.5,,
Wolves,Sunderland,2,1,2.4,3.3,3,,
Fulham,Liverpool,1,0,3.5,3.4,2.1,,
Arsenal,Everton,1,0,1.53,4,6.5,,
Bolton,Aston Villa,1,2,2.5,3.3,2.88,,
Liverpool,QPR,1,0,1.33,5,10,,
Man United,Wolves,4,1,1.22,6,15,,
Norwich,Newcastle,4,2,2.4,3.4,2.88,,
Swansea,Fulham,2,0,2.63,3.25,2.75,,
West Brom,Wigan,1,2,1.67,3.8,5.25,,
Stoke,Tottenham,2,1,3.75,3.5,2,,
Sunderland,Blackburn,2,1,1.83,3.5,4.5,,
Chelsea,Man City,2,1,2.4,3.3,3,,
Blackburn,West Brom,1,2,2.38,3.3,3,,
Everton,Norwich,1,1,1.62,3.75,6,,
Fulham,Bolton,2,0,1.62,3.75,6,,
Newcastle,Swansea,0,0,1.8,3.6,4.5,,
Wigan,Chelsea,1,1,9,4.75,1.36,,
Wolves,Stoke,1,2,2.5,3.25,2.88,,
Aston Villa,Liverpool,0,2,4.2,3.4,1.91,,
Man City,Arsenal,1,0,1.73,3.75,4.5,,
QPR,Man United,0,2,7.5,4.33,1.44,,
Tottenham,Sunderland,1,0,1.36,4.75,9,,
Blackburn,Bolton,1,2,2.1,3.4,3.5,,
Wolves,Norwich,2,2,2,3.5,3.75,,
Aston Villa,Arsenal,1,2,5,3.6,1.73,,
Everton,Swansea,1,0,1.57,3.75,6.5,,
Fulham,Man United,0,5,5,3.6,1.73,,
Man City,Stoke,3,0,1.22,6,15,,
Newcastle,West Brom,2,3,2,3.5,3.75,,
QPR,Sunderland,2,3,2.5,3.3,2.88,,
Wigan,Liverpool,0,0,7,4,1.5,,
Tottenham,Chelsea,1,1,2.6,3.4,2.7,,
Bolton,Newcastle,0,2,2.5,3.4,2.8,,
Chelsea,Fulham,1,1,1.3,5,12,,
Liverpool,Blackburn,1,1,1.25,5.5,13,,
Man United,Wigan,5,0,1.14,7.5,21,,
Stoke,Aston Villa,0,0,1.91,3.4,4.2,,
Sunderland,Everton,1,1,2.4,3.25,3,,
West Brom,Man City,0,0,7,4.5,1.44,,
Arsenal,Wolves,1,1,1.22,6,15,,
Norwich,Tottenham,0,2,4.5,3.6,1.8,,
Swansea,QPR,1,1,2,3.4,3.8,,
Liverpool,Newcastle,3,1,1.53,4,6.5,,
Arsenal,QPR,1,0,1.25,5.5,13,,
Bolton,Wolves,1,1,2.2,3.25,3.4,,
Chelsea,Aston Villa,1,3,1.29,5,13,,
Man United,Blackburn,2,3,1.13,8,26,,
Norwich,Fulham,1,1,2.6,3.25,2.75,,
Stoke,Wigan,2,2,1.67,3.6,5.5,,
Swansea,Tottenham,1,1,5.5,3.6,1.67,,
Sunderland,Man City,1,0,6.5,4,1.53,,
West Brom,Everton,0,1,2.6,3.25,2.75,,
